architecture,noise_type,dominance_ratio,effect_size,p_value,greedy_mean,competitor_mean,competitor_name,significant,greedylr_wins
quadratic,none,504.89530129233833,1.7604591078972969,0.0002714762994216944,1.638202331075527,827.1206595261891,cosine,True,True
quadratic,periodic_spike,68.16770212316543,1.4165096606473848,0.0016394842157079136,15.733327735444261,1072.5047984759012,cosine,True,True
quadratic,burst,26.63515314220831,0.9686271311502892,0.01877263511328317,25.138968802663083,669.5802838961283,cosine_restarts,True,True
quadratic,gaussian,282.4774547304623,1.174892481071689,0.006198969528334762,4.695099624984505,1326.259791771571,cosine,True,True
quadratic,random_spike,185.70725334854382,1.082270665490957,0.010252673460016674,3.7696036151907113,700.0427335898081,cosine,True,True
quadratic,drift,37.80491629986356,0.9132352350765682,0.025224770754538755,16.28750074164973,615.7476022720336,cosine_restarts,True,True
quadratic,adversarial,63.69659402627954,0.75156457761999,0.05857755437824218,13.14358095713222,837.2013402779897,cosine,False,False
quadratic,oscillatory,40.988067302984796,1.0140680605345644,0.014750008644118193,11.912138318346933,488.2555271148682,cosine,True,True
quadratic,plateau,105.7793709511252,0.8002374654131745,0.04578737428715563,7.8102344724088235,826.1616894721985,cosine_restarts,True,True
neural_wide_transformer,plateau,0.9814471907180939,-0.11299100581598659,0.6735518053607404,0.22940519799788792,0.2251490871111552,cosine_restarts,False,False
neural_wide_transformer,adversarial,0.7205917664142455,-0.33878708736053054,0.19986879304500763,0.3197441885868708,0.23040502965450288,cosine_restarts,False,False
neural_wide_transformer,gaussian,0.9302517767284264,-0.30664633989755463,0.24733250468973692,0.24739121397336325,0.23013611634572348,cosine_restarts,False,False
neural_wide_transformer,periodic_spike,0.6916246969985806,-0.3505570071894209,0.1851005138381706,0.3289682308832804,0.22752255300680796,cosine_restarts,False,False
neural_wide_transformer,random_spike,1.0091733218092178,0.09083780890029024,0.7392272666696782,0.22735924671093624,0.229444886247317,cosine_restarts,False,False
neural_wide_transformer,drift,0.9065768175760192,-0.19890329343419075,0.4479827593719441,0.2544301221768061,0.23066045045852662,cosine_restarts,False,False
neural_wide_transformer,oscillatory,0.42020980616209835,-0.32876595067490166,0.21303863731252567,0.5487301056583722,0.23058177133401234,cosine_restarts,False,False
neural_wide_transformer,burst,0.9919279406798677,-0.09068174774198481,0.7361152820491519,0.22596279432376226,0.224138809243838,cosine_restarts,False,False
neural_wide_transformer,none,0.9764308533740054,-0.07236133877594357,0.781988705850571,0.23867677450180053,0.23305136660734813,cosine_restarts,False,False
neural_vit,burst,1.0499691623534662,0.2225500413810603,0.512535592479924,0.20521022230386735,0.21546440521876017,cosine_restarts,False,False
neural_vit,plateau,1.1054541509907627,0.5288963163676574,0.06348574891522982,0.21325664271910985,0.23574544092019398,cosine_restarts,False,False
neural_vit,periodic_spike,1.0319577081991238,0.16840398178725097,0.6110544486995984,0.21778756355245907,0.22474755495786666,cosine_restarts,False,False
neural_vit,drift,1.0350569037575044,0.13999474547611515,0.6845465429365584,0.21115168159206707,0.2185540057718754,cosine,False,False
neural_vit,gaussian,0.9804105438485308,-0.07504534046668769,0.796216171190113,0.23088305393854777,0.22636018047730128,cosine,False,False
neural_vit,oscillatory,1.04399614621991,0.21462664035781195,0.5193483544605149,0.22045825993021329,0.23015757376948992,cosine,False,False
neural_vit,none,1.047860417852987,0.2027772680354614,0.5420486409997246,0.20654443949460982,0.21642974267403284,cosine,False,False
neural_vit,random_spike,0.9245910901818895,-0.27701088569693344,0.39946495544937577,0.2243209848801295,0.20740518396099408,cosine_restarts,False,False
neural_vit,adversarial,0.9590085529652543,-0.2404806219665314,0.4386459096004779,0.2298685496052106,0.2204459051291148,cosine_restarts,False,False
neural_simple,periodic_spike,0.8175420428902379,-0.05903909607285197,0.8235175959209401,0.000791461355379397,0.0006470529333455488,cosine_restarts,False,False
neural_simple,burst,0.5338839729351956,-0.19529448377361866,0.4580398135267676,0.0005448380191875657,0.0002908802862899999,cosine_restarts,False,False
